symbol,price,change,change_percent,timestamp,source
BTC-USD,0.0,0.0,0.0,2025-12-15 17:42:58,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:42:59,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:42:59,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:42:59,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:42:59,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:42:59,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:42:59,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:42:59,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:42:59,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:42:59,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:43:16,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:43:16,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:43:16,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:43:16,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:43:16,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:43:16,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:43:16,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:43:16,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:43:16,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:44:38,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:44:39,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:44:39,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:44:39,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:44:39,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:44:39,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:44:39,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:44:39,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:44:39,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:45:05,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:45:06,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:45:06,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:45:06,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:45:06,yfinance
